Activity Name,Address,Region,Postcode,Latitude,Longitude,Activity Type,Day,Time,Type,Organisation,ran by,Referral service,YM Member,Age range,Website,Email,Contact Name 1,Number,Contact Name 2,Number.1,Activities,Unnamed: 22,Unnamed: 23,Unnamed: 24
Dads Place,Bligh Way,Strood,ME2 2XJ,51.394882,0.46246,Social and Community,Saturday,10:00-12:00,Father and child,Dadspace ,Dadsplace,,No,,,office@bligh-maritime.org,,01634336221,,,Dads and Kids,,,Employment and Enterprise
Young Carers,Gun Wharf Dock Road,Chatham,ME2 4TG,51.395399,0.494547,Education and Life Skills,Check website for details,,Health and Support,Carers First,Carers First,Yes,Yes,5 -11 ,,,,,,,,,,Employment and Enterprise
Legends - Young Ives Foundation,71 College Road,Strood,ME15 6SX,51.444079,0.262002,Health and Wellbeing,,,Health and Support,Young Lives Foundation,Young Lives Foundation,Yes,Yes,,,enquiries@ylf.org.uk,,,,,,,,Environmental Action
Paramount Foundation ,Affinity House Beaufort Court,Strood,ME2 4FD,51.389991,0.519494,Health and Wellbeing,,,Health and Support,Paramount Foundation,Paramount Foundation,Yes,No,,,,,01634629077,,,Garden and Outdoor Projects,,,
Reachable Moments Hospital Project,Windmill Road,Gillingham,ME7 5NY,,,Health and Wellbeing,,,Health and Support,Reachable Moments Hospital Project,Reachable Moments Hospital Project,,No,12-25,,vru.programme.delivery@kent.police.uk,,,,,,,,
Medway Parent Carers forum,"snapdragons centre, Cliffe rd",Strood,ME2 3FF,51.407662,0.492209,Social and Community,,,Health and Support,Medway Parents Carers Forum,Medway Parents Carers Forum,,Yes,,,info@medwaypcf.org.uk,,07813123984,,,,,,
Strong Foundations  ,Bligh Way,Strood,ME2 2XJ,51.394882,0.46246,Social and Community,Check website for details,,Health and Support,Strong Foundations,Strong Foundations,,No,,,office@bligh-maritime.org,,01634336220,,,,,,
Medway Public Health,Gun Wharf Dock Road,Chatham,ME4 4TR,51.389111,0.523988,Environmental Action,,,Health and Suppport,Medway Public Health,Medway Public Health,Yes,No,,,,,,,,,,,
Be You Project,Woodlands Road,Gillingham,ME7 2BX,51.379571,0.567785,Youth Centre,Tuesday ,16:30-18:00,LGBTQ+,Medway council,Porchlight,,No,13-18,,beyou@porchlight.org.uk,,,,,,,,
Beavers,Gun Lane ,Strood,ME2 4UH,51.397532,0.494922,Social and Community,Wednesday,17:45-18:45,Life Skills,Scouts,1st Medway Towns,,Yes,6-8,,strood@salvationarmy.org.uk,Ruth Prior,01634723311,,,,,,
Beavers,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Monday,18:00-19:00,Life Skills,Scouts,1st Medway Towns,,Yes,6-8,,chatham.citadel@salvationarmy.org.uk,Rodolfo Salcedo,01634843689,,,,,,
Cubs,Gun Lane ,Strood,ME2 4UH,51.397532,0.494922,Social and Community,Thursday,18:00-19:00,Life Skills,Scouts,1st Medway Towns,,Yes,8-10,,strood@salvationarmy.org.uk,Ruth Prior,01634723312,,,,,,
Cubs,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Monday,18:00-19:01,Life Skills,Scouts,1st Medway Towns,,Yes,8-10,,chatham.citadel@salvationarmy.org.uk,Rodolfo Salcedo,01634843690,,,,,,
Explorers,Gun Lane ,Strood,ME2 4UH,51.397532,0.494922,Social and Community,Friday,19:00-20:00,Life Skills,Scouts,1st Medway Towns,,Yes,14-18,,strood@salvationarmy.org.uk,Ruth Prior,01634723314,,,,,,
Explorers,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Monday,19:30-20:00,Life Skills,Scouts,1st Medway Towns,,Yes,14-18,,chatham.citadel@salvationarmy.org.uk,Rodolfo Salcedo,01634843692,,,,,,
Scouts,Gun Lane ,Strood,ME2 4UH,51.397532,0.494922,Social and Community,Friday,18:00-19:00,Life Skills,Scouts,1st Medway Towns,,Yes,10-14,,strood@salvationarmy.org.uk,Ruth Prior,01634723313,,,,,,
Scouts,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Monday,19:30-20:00,Life Skills,Scouts,1st Medway Towns,,Yes,10-14,,chatham.citadel@salvationarmy.org.uk,Rodolfo Salcedo,01634843691,,,,,,
Squirrels,Gun Lane ,Strood,ME2 4UH,51.397532,0.494922,Social and Community,Wednesday,16:30-17:30 ,Life Skills,Scouts,1st Medway Towns,,Yes,4-6,,ruth.hardy@salvationarmy.org.uk,Ruth Prior,01634723310,,,,,,
Squirrels,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Monday,17:00-18:00,Life Skills,Scouts,1st Medway Towns,,Yes,4-6,,ruth.hardy@salvationarmy.org.uk,Ruth Prior,01634723310,,,,,,
Motiv8,Montfort Road,Rochester,ME2 3ET,51.397519,0.489587,Youth Centre,Wednesday,18:00-20:00,Life Skills,Medway Council,Strood Youth Centre,,No,11+,,youth.enquiries@medway.gov.uk,Medway Youth Team,01634 338742,,,,,,
Senior Youth Sessions & Duke of Edinburgh Award,Woodlands Road,Gillingham,ME7 2BX,51.379571,0.567785,Youth Centre,Tuesday ,18:00-20:00,Life Skills,Medway council,Medway Council,,No,13-19,,,,,,,,,,
Shine Youth Sessions,Woodlands Road,Gillingham,ME7 2BX,51.379571,0.567785,Youth Centre,Wednesday,18:00-20:00,Life Skills,Medway council,Medway Council,,No,10-18,,,,,,,,,,
Explorers,St Mary's Island Community Centre,Wainscott,ME4 3EP,51.406776,0.538105,Life skills,Thursday,,Life Skills,scouts,Poseidon ESU,,Yes,14-18,www.scouts.org.uk,,,,,,,,,
Beavers,St Mary's Island Community Centre,Wainscott,ME4 3EP,51.406776,0.538105,Life skills,Mondays,17:45-19:00,Life Skills,scouts,10th Medway Sea Scouts,,Yes,6-8,www.scouts.org.uk,,,,,,,,,
Cubs,St Mary's Island Community Centre,Wainscott,ME4 3EP,51.406776,0.538105,Life skills,Thursday,18:00-19:30,Life Skills,scouts,10th Medway Sea Scouts,,Yes,8-10,www.scouts.org.uk,,,,,,,,,
Scouts,St Mary's Island Community Centre,Wainscott,ME4 3EP,51.406776,0.538105,Life skills,Thurday,,Life Skills,scouts,10th Medway Sea Scouts,,Yes,11-14,www.scouts.org.uk,,,,,,,,,
Explorers,St Lukes Church ,Gillingham,ME7 1PD,51.394243,0.547862,Life skills,Friday,19:00-21:30,Life Skills,scouts,Octane ESU,,Yes,14-18,www.scouts.org.uk,,,,,,,,,
Squirrels,St Lukes Church ,Gillingham,ME7 1PD,51.394243,0.547862,Life skills,,,Life Skills,scouts,1st Gillingham ,,Yes,4-6,www.scouts.org.uk,,,,,,,,,
Beavers,St Lukes Church ,Gillingham,ME7 1PD,51.394243,0.547862,Life skills,Friday,17:00-18:15,Life Skills,scouts,1st Gillingham ,,Yes,6-8,www.scouts.org.uk,,,,,,,,,
Cubs,St Lukes Church ,Gillingham,ME7 1PD,51.394243,0.547862,Life skills,Wednesday,,Life Skills,scouts,1st Gillingham,,Yes,8-10,www.scouts.org.uk,,,,,,,,,
Scouts,St Lukes Church ,Gillingham,ME7 1PD,51.394243,0.547862,Life skills,Monday,,Life Skills,scouts,1st Gillingham,,Yes,11-14,www.scouts.org.uk,,,,,,,,,
Squirrels,Castlemaine Avenue,Gillingham,ME7 2QA,51.389419,0.564498,Life skills,Friday,17:00-18:00,Life Skills,scouts,25th Gillingham,,Yes,4-6,www.scouts.org.uk,,,,,,,,,
Beavers,Castlemaine Avenue,Gillingham,ME7 2QA,51.389419,0.564498,Life skills,Wednesday,,Life Skills,scouts,25th Gillingham,,Yes,6-8,www.scouts.org.uk,,,,,,,,,
Cubs,Castlemaine Avenue,Gillingham,ME7 2QA,51.389419,0.564498,Life skills,Monday,,Life Skills,scouts,25th Gillingham,,Yes,8-10,www.scouts.org.uk,,,,,,,,,
Scouts,Castlemaine Avenue,Gillingham,ME7 2QA,51.389419,0.564498,Life skills,Tuesday,,Life Skills,scouts,25th Gillingham,,Yes,11-14,www.scouts.org.uk,,,,,,,,,
Explorers,Church Green,Frindsbury,ME2 4HE,51.401755,0.503103,Life skills,Thursday,18:30-20:30,Life Skills,scouts,27th Strood,,Yes,14-18,www.scouts.org.uk,,,,,,,,,
Squirrels,Church Green,Frindsbury,ME2 4HE,51.401755,0.503103,Life skills,Friday,16:30-17:30,Life Skills,scouts,27th Strood,,Yes,4-6,www.scouts.org.uk,,,,,,,,,
Beavers,Church Green,Frindsbury,ME2 4HE,51.401755,0.503103,Life skills,Tuesday,18:00-19:15,Life Skills,scouts,27th Strood,,Yes,6-8,www.scouts.org.uk,,,,,,,,,
Cubs,Church Green,Frindsbury,ME2 4HE,51.401755,0.503103,Life skills,Wednesday,18:00-20:30,Life Skills,scouts,27th Strood,,Yes,8-10,www.scouts.org.uk,,,,,,,,,
Scouts,Church Green,Frindsbury,ME2 4HE,51.401755,0.503103,Life skills,Monday,18:30-20:30,Life Skills,scouts,27th Strood,,Yes,11-14,www.scouts.org.uk,,,,,,,,,
Scouts,Church Green,Frindsbury,ME2 4HE,51.401755,0.503103,Life skills,Thursday,18:30-20:30,Life Skills,scouts,27th Strood,,Yes,11-14,www.scouts.org.uk,,,,,,,,,
Anchors,Green Street,Gillingham,ME7 5TJ,51.386144,0.545975,Life Skills,Friday,18:00-19:30,Life Skills,Boys Brigade,1st Gillingham,,No,5-8,www.boys-brigade.org.uk,,,,,,,,,
Juniors,Green Street,Gillingham,ME7 5TJ,51.386144,0.545975,Life Skills,Friday,18:00-19:30,Life Skills,Boys Brigade,1st Gillingham,,No,8-11,www.boys-brigade.org.uk,,,,,,,,,
Company,Green Street,Gillingham,ME7 5TJ,51.386144,0.545975,Life Skills,Friday,19:30-21:30,Life Skills,Boys Brigade,1st Gillingham,,No,11-14,www.boys-brigade.org.uk,,,,,,,,,
Seniors,Green Street,Gillingham,ME7 5TJ,51.386144,0.545975,Life Skills,Friday,19:30-21:30,Life Skills,Boys Brigade,1st Gillingham,,No,15-18,www.boys-brigade.org.uk,,,,,,,,,
Anchors,Cooling Road,Rochester,ME2 4RG,51.405341,0.499833,Life Skills,Friday,18:00-19:30,Life Skills,Boys Brigade,2nd Strood,,No,5-8,www.boys-brigade.org.uk,,,,,,,,,
Juniors,Cooling Road,Rochester,ME2 4RG,51.405341,0.499833,Life Skills,Friday,18:00-19:30,Life Skills,Boys Brigade,2nd Strood,,No,8-11,www.boys-brigade.org.uk,,,,,,,,,
Company,Cooling Road,Rochester,ME2 4RG,51.405341,0.499833,Life Skills,Friday,19:30-21:30,Life Skills,Boys Brigade,2nd Strood,,No,11-14,www.boys-brigade.org.uk,,,,,,,,,
Seniors,Cooling Road,Rochester,ME2 4RG,51.405341,0.499833,Life Skills,Friday,19:30-21:30,Life Skills,Boys Brigade,2nd Strood,,No,15-18,www.boys-brigade.org.uk,,,,,,,,,
Medway Youth Council,Gun Wharf Dock Road,Chatham,ME4 4TR,51.389111,0.523988,Civic Engagement and Advocacy,Friday,,Local services ,Medway Youth Council,Medway Youth Council,,Yes,11-18,,youth.enquiries@medway.gov.uk,Olivia Sales,07773187371,,,,,,
Young Peoples Singing Choir Rehearsal,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Thursday,18:15-19:00,Music and Performing,Salvation Army,Salvation Army,,No,13+,,chatham.citadel@salvationarmy.org.uk,Rodolfo Salcedo,,,,,,,
Thats My Jam,Woodlands Road,Gillingham,ME7 2BX,51.379571,0.567785,Youth Centre,Mondays,17:30-20:00,Music and Performing,Medway council,Kent Music,,No,12-18,,,,,,,,,,
Saturday Music Centre,Rainmark Grammer School,Rainham,ME8 7AJ,51.371055,0.594652,Music and performance,Saturday,9:15-14:30,Music and Performing,Medway Music Association,Medway Music Association,,No,5-18,https://www.medwaymusicassociation.co.uk/saturday-music-centre,,,,,,,,,
Medway Youth Orchestra,Rainmark Grammer School,Rainham,ME8 7AJ,51.371055,0.594652,Music and performance,Saturday,13:00-14:30,Music and Performing,Medway Music Association,Medway Music Association,,No,7-18,https://www.medwaymusicassociation.co.uk/saturday-music-centre,,,,,,,,,
Medway Wind Band,Rainmark Grammer School,Rainham,ME8 7AJ,51.371055,0.594652,Music and performance,Saturday,12:00-12:30,Music and Performing,Medway Music Association,Medway Music Association,,No,7-18,https://www.medwaymusicassociation.co.uk/saturday-music-centre,,,,,,,,,
Detached Youth Sessions,"Gillingham Park, Canterbury Street",Gillingham,ME7 5LA,51.375354,0.552503,Parks and outdoor activities,Mondays,17:30-19:30,Outdoor Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Detached Youth Sessions,Saunders Street Ball Cage,Gillingham,ME7 1JR,51.390422,0.547348,Parks and outdoor activities,Wednesday,18:00-20:00,Outdoor Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Detached Youth Sessions,Beechings Park,Twydall,ME8 6TQ,51.375539,0.587088,Parks and outdoor activities,Fridays,18:00-20:00,Outdoor Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Detached Youth Sessions,Maidstone Road Recreation Ground,Chatham,ME4 6LR,51.36762,0.521757,Parks and outdoor activities,Wednesday,15:00-17:00,Outdoor Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Duke of Edinburgh,Montfort Road,Strood,ME2 3ET,51.397519,0.489587,Life skills,Thursday,19:00-21:00,Outdoor Activities,Medway council,Medway Council,,No,13-19,,,,,,,,,,
Youth Club,Montford Road,Strood,ME2 3ET,51.397519,0.489587,Social and Community,Monday (Term time only),17:00-18:30,SEND and Additional Needs,ClubAUSome,ClubAUSome,,Yes,Under 12's,,hello@clubausome.co.uk,,01634949608,,,A support group for Autistic and LGBTQIA+ young people,,,
Youth Club,Montford Road,Strood,ME2 3ET,51.397519,0.489587,Social and Community,Monday (Term time only),19:00-20:30,SEND and Additional Needs,ClubAUSome,ClubAUSome,,Yes,Over 12's,,hello@clubausome.co.uk,,01634949608,,,A support group for Autistic and LGBTQIA+ young people,,,
Swimming Sessions,Montford Road,Strood,ME2 3ET,51.397519,0.489587,Sports and Recreation,Check website for details,,SEND and Additional Needs,ClubAUSome,ClubAUSome,,Yes,,,mailto:hello@clubausome.co.uk,,01634949609,,,,,,
Wednesday Squad,Parkwood Green Shopping Centre,Gillingham,ME8 9PN,51.348215,0.594927,Youth Centre,Wednesday ,18:30-20:30,SEND and Additional Needs,Medway council,Parkwood Youth Centre,,No,16-25,,,,,,,,,,
Medway Youth,Gun Wharf Dock Road,Chatham,ME4 4TR,51.389111,0.523988,Civic Engagement and Advocacy,Tuesday,15:30-17:30,Social Activities,Medway Council,Medway Council,,No,13+,,,,,,,,,,
Lego Club,Kestrel Road,Chatham,ME5 8TH,51.334458,0.543899,Social and Community,Tuesday ,15:30-16:30,Social Activities,Medway Council,Lordsword Library,,No,,,,,,,,,,,
Child Friendly Medway,,,,,,,,,Social Activities,Medway Council,Lordswood Library,,No,,,amy.stlouis@medway.gov.uk,Amy St Louis,07800 515 581 ,,,,,,
3rd Walderslade Guides ,,,,,,Social and Community,,,Social Activities,,,,No,,,jenny.dyer@hotmail.com,Jenny Dyer ,07983003573,,,,,,
Chatham Youth,Church Street ,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Thursday ,16:30-20:30,Social Activities,Medway Council,Medway Council,,No,13+,,chathamsa.org.uk,,,,,,,,
Elaine Centre hub,Elaine Avenue,Strood,ME2 2YN,51.392983,0.476187,Social and Community,,,Social Activities,,,,No,,,office@inspireelaine.co.uk,,01634294817,,,Young Carers Dads | young mums and children's groups  | Activities for everyone,,,
Medway Youth Summer Takeover,Gun Wharf Dock Road,Chatham,ME4 4TR,51.389111,0.523988,Social and Community,Tuesdays,,Social Activities,,,,No,,,,,,,,,,,
St Luke's youth club,51 Trinity Road,Rochester,ME7 1JA,51.392082,0.545083,Social and Community,,18:30-20:30,Social Activities,,,,No,8 -12,,jenkins197@btinternet.com,,,,,,,,
Tweenagers,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Friday (Alternative Fridays),19:00-20:00,Social Activities,Salvation Army,Salvation Army,,No,,,,,,,,,,,
Youff,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Social and Community,Friday (Alternative Fridays),19:30-20:30,Social Activities,Salvation Army,Salvation Army,,No,13+,,,,,,,,,,
Lordswood Youth Centre,Kestrel Road,Chatham,ME5 8TH,51.334458,0.543899,Youth Centre,Mondays,18:00-20:00,Social Activities,Medway Council,Medway Council,,No,8–19 (up to 25 SEND),,youth.enquiries@medway.gov.uk,Medway Youth Team,01634 338742,,,,,,
Parkwood Youth Centre,Parkwood Green,Gillingham,ME8 9PN,51.348215,0.594927,Youth Centre,Wednesdays,18:30-20:30,Social Activities,Medway Council,Medway Council,,No,16–25 (SEND),,angela.cox@medway.gov.uk,Angela Cox,Not listed,,,,,,
Woodlands Youth Hub,Woodlands Road,GIllingham,ME7 2BX,51.379571,0.567785,Youth Centre,Wednesdays ,18:00-20:30,Social Activities,Medway Council,Medway Council,,No,11–18 (SEND),,youth.enquiries@medway.gov.uk,Medway Youth Team,01634 338742,,,,,,
Lego Club,Kestrel Road,Chatham,ME5 8TH,51.334458,0.543899,Social and Community,Thursday,15:30-16:30,Social Activities,Medway Council,Lordsword Library,,No,4+,,,,,,,,,,
Lego Club,Kestrel Road,Chatham,ME5 8TH,51.334458,0.543899,Social and Community,Saturday,10:45-11:45,Social Activities,Medway Council,Lordsword Library,,No,4+,,,,,,,,,,
Lordswood Girls Group,Kestrel Road,Chatham,ME5 8TH,51.334458,0.543899,Social and Community,Thursday,18:00-20:00,Social Activities,Medway Council,Lordsword Library,,No,4+,,,,,,,,,,
Youth Centre ,Keys Avenue,Chatham,ME4 5UN,51.373217,0.528718,Youth Centre,Wednesdays,18:00-20:00,Social Activities,Medway Council,White Road Community Centre,,No,11-16,,,,,,,,,,
Rochester Youth Club,City Way,Rochester,ME1 2BQ,51.366637,0.508902,Youth Centre,Thursdays,18:30-20:30,Social Activities,Medway Council,St Luke's Methodist Church,,No,8-12,,,,,,,,,,
Chatham Youth Club,Church Street,Chatham,ME4 4BT,51.37999,0.529106,Youth Centre,Thursdays,16:30-20:30,Social Activities,Medway Council,Salvation Army,,No,13-19,,,,,,,,,,
Walderslade Youth,King George Road,Chatham,ME5 0TZ,51.350847,0.522588,Youth Centre,Fridays,15:30-17:30,Social Activities,Medway Council,Hook Meadow Community Centre,,No,11-18,,,,,,,,,,
Walderslade Youth,King George Road,Chatham,ME5 0TZ,51.350847,0.522588,Youth Centre,Fridays,18:30-20:30,Social Activities,Medway Council,Hook Meadow Community Centre,,No,11-18,,,,,,,,,,
Junior youth club ,Parkwood Green Shopping Centre,Gillingham,ME8 9PN,51.348215,0.594927,Youth Centre,Wednesday,16:30-18:00,Social Activities,Medway council,Parkwood Youth Centre,,No,8-11,,,,,,,,,,
Youth Space,Parkwood Green Shopping Centre,Gillingham,ME8 9PN,51.348215,0.594927,Youth Centre,Fridays,18:30-20:30,Social Activities,Medway council,Parkwood Youth Centre,,No,11+,,,,,,,,,,
Junior Hangout,Woodlands Road,Gillingham,ME7 2BX,51.379571,0.567785,Youth Centre,Thursday,15:30-17:30,Social Activities,Medway council,Medway Council,,No,8-12,,,,,,,,,,
Youth Centre ,Keys Avenue,Chatham,ME4 5UN,51.373217,0.528718,Youth Centre,Wednesday,18:00-20:00,Social Activities,Medway council,Medway Council,,No,11-16,,,,,,,,,,
Detached Youth Sessions,Chatham High Street,Chatham,ME4 4AY,51.382108,0.525543,Social activities,Fridays,15:00-17:00,Social Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Grain Youth Club,"Grain Pavillion, Pintail Close",Hoo,ME3 0ED,51.457095,0.711172,Social activities,Tuesday ,18:00-20:00,Social Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Hoo Detached ,Pottery Road Recreation Ground,Hoo,ME3 9BS,51.421986,0.554555,Social activities,Wednesday,18:00-20:30,Social Activities,Medway council,Medway Council,,No,8+,,,,,,,,,,
Lego Club,Gillingham Community Hub,Gillingham,ME7 1BG,51.388759,0.542799,Social activities,Saturday,12:15-15:45,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,Hempstead Community Hub,Gillingham,ME7 3QG,51.349306,0.570731,Social activities,Sunday,10:00-14:00,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,Church Street,Hoo,ME3 9AL,51.418616,0.563889,Social activities,Friday ,15:00-17:00,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,2 Nelson Terrace,Chatham,ME5 7LA,51.368974,0.548528,Social activities,Thursday,15:45-16:45,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,133 High Street,Rochester,ME2 4TJ,51.39571,0.494291,Social activities,Wednesday,15:00-17:00,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,133 High Street,Rochester,ME2 4TJ,51.39571,0.494291,Social activities,Friday,15:00-17:00,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,13-15 Twydall Green,Gillingham,ME8 6JY,51.374981,0.58266,Social activities,Thursday,15:30-16:30,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,King George Road,Chatham,ME5 0TZ,51.350847,0.522588,Social activities,Wednesday,15:30-16:30,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,Walderslade Road,Chatham,ME5 9LR,51.33948,0.526731,Social activities,Tuesday ,15:30-16:30,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Lego Club,Walderslade Road,Chatham,ME5 9LR,51.33948,0.526731,Social activities,Saturday,10:00-12:00,Social Activities,Medway council,Medway Council,,No,4+,,,,,,,,,,
Arches Local,Strand Approach,Gillingham,ME7 1TT,51.394007,0.562771,Sports and Recreation,Thursday,,Social Activities,Medway Archers,Medway Archers,,Yes,7+,www.medwayarchers.co.uk,stephen@archeslocal.org.uk,Stephen Perez,,,,,,,
Arches Local,Strand Approach,Gillingham,ME7 1TT,51.394007,0.562771,Sports and Recreation,Saturday,12:00,Social Activities,Archers Local,Archers Local,,Yes,7+,www.medwayarchers.co.uk,stephen@archeslocal.org.uk,Stephen Perez,,,,,,,
Chimora Climber,Jetty 5 Chatham Quays,Chatham,ME4 4ZJ,51.402293,0.534118,Sports and Recreation,Monday - Friday ,10:00-18:00,Social Activities,Chimera ,Chimera Chatham Centre,,No,under 12's,,chatham@chimeraclimbing.com,,01892 457294,,,,,,
Cozenton Skate Park,4 Bloors Ln,Rainham,ME8 7EG,51.367159,0.597176,Sports and Recreation,Always open,,Social Activities,Medway Council,Medway Council,,No,5+,,,,01634333977,,,,,,
Jacksons football + sport ,New Road,Rochester,ME1 1DX,51.382817,0.512245,Sports and Recreation,Friday,15:30-17:00,Social Activities,Medway Council,Medway Council,,No,All ages and abilities,,,,,,,,,,
Pop up football,Jacksons Park ,Rochester,ME1 1BD,51.383443,0.509046,Sports and Recreation,Thursdays,15:00-17:00,Social Activities,Medway Council,Medway Council,,No,8+,,,,,,,,,,
Archery and Climbing,Montfort Road,Strood,ME2 3ET,51.397519,0.489587,Sports and Recreation,Thursday,19:00-21:00,Social Activities,Medway council,Medway Council,,No,13-19,,,,,,,,,,
Family climbing sessions,Montfort Road,Strood,ME2 3ET,51.397519,0.489587,Sports and Recreation,Saturday,14:00-17:00,Social Activities,Medway council,Medway Council,,No,5+,,,,,,,,,,
Table Tennis,Derwent Way,GIllingham,ME8 0BX,51.362452,0.594051,Sports and Recreation,Friday,17:30-18:50,Social Activities,Chatham Table Tennis Club,Chatham Table Tennis Club,,No,13-18,Club Night - Chatham Table Tennis Club,,,,,,,,,
Digital Teen Art,"The Lightbox, 15a High Street",Rochester,ME1 1PY,51.390911,0.503014,Creative Expression,Wednesday,15:30-17:30,Creative Activities,Nucleus Art,Nucleus Art,,No,13-17,,"info@nucleusarts.com
",,01634 812108,,,Arts groups/Activities for children & Young people,,,
Teen Art,272 High Street ,Chatham,ME4 4BP,51.380632,0.528926,Creative Expression,Tuesday ,15:00-17:00,Creative Activities,Nucleus Art,Nucleus Art,,No,13-17,,"info@nucleusarts.com
",,01634 812108,,,Arts groups/Activities for children & Young people,,,
